date,description,net_amount,vat_amount,category
04/03/2025,PAYG RDG WM - Phase 1 Delivery,1521000.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 19 for Round 1 Schemes,1495875.6,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,1476072.17,0.0,Cap Grt Loc Auth
03/03/2025,#,1463002.43,0.0,Services prov by OGD
17/03/2025,West Midlands CA 10%-  LEVI C Fund 24-25,1454900.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 NRC RevADJ - THE CHILTERN RAILWAY COMPANY,1445181.66,0.0,TOCRevenue(Pub)
26/03/2025,North East Lincs C 100%-  LEVI C Fund 24-25,1431000.0,0.0,Cap Grt Loc Auth
17/03/2025,RIS 1 Schemes,1423599.56,0.0,TA Cost AUC - Programme
01/03/2025,Cadent - Saltley Construction,1418415.72,0.0,AUC - Phase 1
14/03/2025,TABLE 7 : SERVICE CHARGES REGION B,1398208.04,0.0,THEORY TEST VARIABLE CHARGES
20/03/2025,Live Labs 2 2024/25 second payment,1369065.0,0.0,Research Grant-PS
26/03/2025,Innovation Operations,1358201.05,0.0,TA Cost AUC – Non SRN
27/03/2025,"""VW Commercial Vehicles   February  2025 #1,355,00",1355000.0,0.0,Cap Grt Pri Sec-Cos.
18/03/2025,SMarT services,1350754.0,0.0,SMarT Funding - MCA
27/03/2025,ZEBRA 2,1336926.0,0.0,Cap Grt Loc Auth
24/03/2025,Pensions Contribution,1336637.92,0.0,Pensions Contribution
24/03/2025,Renewals of Roads,1304733.02,0.0,TA Renewal of Roads - Capital
24/03/2025,Consolidated Active Travel Fund 1,1304625.0,0.0,CurrGrt Las in AEF/A
14/03/2025,AFF Dragon MS7&8,1302301.81,0.0,Cap Grt Pri Sec-Cos.
27/03/2025,2513 Wk3 CP7 Access Charges_P2513 - Wales and Bord,1291050.17,0.0,Pte Cost Of Servs Ch
18/03/2025,Renewals of Roads,1289438.55,0.0,TA Renewal of Roads - Capital
24/03/2025,Consolidated Active Travel Fund 1,1282477.0,0.0,CurrGrt Las in AEF/A
24/03/2025,Corporate Support Services,1281367.14,0.0,TA Cost AUC – Non SRN
27/03/2025,ZEBRA 2,1264814.27,0.0,Cap Grt Loc Auth
03/03/2025,Operate Roads PFI Service Payments,1264478.67,0.0,PFI Service Payments
24/03/2025,Renewals of Roads,1262393.59,0.0,TA Renewal of Roads - Capital
26/03/2025,EDP WP5 FY24/25,1252636.42,0.0,Engineering Services - Civil
24/03/2025,Consolidated Active Travel Fund 1,1244974.0,0.0,CurrGrt Las in AEF/A
25/03/2025,#,1226643.89,0.0,Estates PFI Unitary
20/03/2025,Live Labs 2 2024/25 second payment,1210500.0,0.0,Cap Grt Loc Auth
06/03/2025,Water Quality,1208350.98,0.0,TA Cost AUC - Programme
