date,description,net_amount,vat_amount,category
08/01/2026,Project - Contract Mandays (supplier controlled),117310.2,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),356069.3,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),21750.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),103709.93,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),67420.84,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),41727.81,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),112168.2,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),61382.8,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),24777.88,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),22373.14,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),32531.98,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),58885.53,0.0,PROJECT Mandays Supp
08/01/2026,Contractor Service,91949.5,0.0,Contin Labor Build
08/01/2026,Project - Contract Mandays (supplier controlled),82670.26,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),216204.66,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),37454.05,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),112288.81,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),25040.61,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),67776.36,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),134492.55,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),79226.88,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),29980.83,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),30534.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),52673.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),28310.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),42330.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),32992.0,0.0,PROJECT Mandays Supp
08/01/2026,Project - Contract Mandays (supplier controlled),30337.98,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),29077.62,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),30464.59,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),42695.12,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),242585.2,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),235467.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),57055.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),73375.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),205122.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),55243.23,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),23067.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (HMRC controlled),46994.4,0.0,PROJECT Mandays HMRC
09/01/2026,Project - Contract Mandays (supplier controlled),27620.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),29912.5,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),69600.33,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),46446.35,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),63761.03,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),69537.19,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),35712.56,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),108759.02,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),30766.68,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),43137.4,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),165454.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),44730.0,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),72942.29,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),119937.72,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),95005.24,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,113586.79,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,49687.27,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,228650.93,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,134127.44,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,37711.2,0.0,PROJECT Mandays HMRC
09/01/2026,Project - Contract Mandays,124099.75,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,55226.5,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays,36086.4,0.0,PROJECT Mandays HMRC
09/01/2026,Project - Contract Mandays,-34759.73,0.0,PROJECT Mandays Supp
09/01/2026,Contingent Labour,39560.4,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,85715.08,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,85715.08,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,100850.86,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,49225.43,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,49225.43,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,118377.6,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,93535.2,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,93535.2,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,43513.8,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,-43513.8,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,43513.8,0.0,Contingnt Labr-Other
09/01/2026,Contingent Labour,96508.0,0.0,Contingnt Labr-Other
09/01/2026,Project - Contract Mandays (supplier controlled),227804.35,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),373792.15,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),423065.21,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),218256.15,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),32944.8,0.0,PROJECT Mandays Supp
09/01/2026,Project - Contract Mandays (supplier controlled),23814.63,0.0,PROJECT Mandays Supp
